time,speed,latitude,longitude
03/02/2019_18:47:38,1.8,42.99489285,-81.26324746666667
03/02/2019_18:47:40,2.1,42.994887,-81.26324396666666
03/02/2019_18:47:45,2.3,42.99488278333333,-81.26323131666666
03/02/2019_18:47:46,2.5,42.99488478333333,-81.2632024
03/02/2019_18:47:48,2.6,42.99489208333333,-81.26319993333334
03/02/2019_18:47:50,2.0,42.9949027,-81.26319775
03/02/2019_18:47:52,1.4,42.994904383333335,-81.2632049
03/02/2019_18:47:54,1.1,42.994895983333336,-81.26321325
03/02/2019_18:47:56,1.0,42.9948805,-81.26323891666667
03/02/2019_18:47:58,2.4,42.99487826666667,-81.26324556666667
03/02/2019_18:48:00,2.5,42.9948837,-81.26323398333334
03/02/2019_18:48:02,1.2,42.994881666666664,-81.26321811666666
03/02/2019_18:48:04,3.1,42.99488,-81.26320238333334
03/02/2019_18:48:06,3.8,42.99487893333333,-81.26318256666667
03/02/2019_18:48:08,3.6,42.99486595,-81.26316918333333
03/02/2019_18:48:10,3.4,42.994862766666664,-81.26316293333333
03/02/2019_18:48:12,1.7,42.99487775,-81.26317225
03/02/2019_18:48:14,0.1,42.994890516666665,-81.26318391666666
03/02/2019_18:48:16,0.0,42.99489235,-81.26318466666666
03/02/2019_18:48:18,0.2,42.99489305,-81.26318498333333
03/02/2019_18:48:20,0.0,42.994894,-81.26318566666667
03/02/2019_18:48:22,0.2,42.99489465,-81.2631857
03/02/2019_18:48:24,0.0,42.994896233333336,-81.26318623333333
03/02/2019_18:48:26,0.0,42.99489716666667,-81.2631865
03/02/2019_18:48:28,0.2,42.99489723333333,-81.26318645
03/02/2019_18:48:30,0.9,42.99490095,-81.26318796666666
03/02/2019_18:48:32,0.9,42.99490601666667,-81.26318588333334
03/02/2019_18:48:34,0.9,42.99490601666667,-81.26318588333334
03/02/2019_18:48:36,0.9,42.99490601666667,-81.26318588333334
03/02/2019_18:48:38,0.9,42.99490601666667,-81.26318588333334
03/02/2019_18:48:40,0.9,42.99490601666667,-81.26318588333334
03/02/2019_18:48:42,0.9,42.99490601666667,-81.26318588333334
03/02/2019_18:48:44,0.9,42.99490601666667,-81.26318588333334
03/02/2019_18:48:46,0.9,42.99490601666667,-81.26318588333334
03/02/2019_18:48:48,0.9,42.99490601666667,-81.26318588333334
03/02/2019_18:48:50,0.9,42.99490601666667,-81.26318588333334
03/02/2019_18:48:52,0.9,42.99490601666667,-81.26318588333334
03/02/2019_18:48:54,2.6,42.9949356,-81.26313283333333
03/02/2019_18:48:56,3.3,42.9949464,-81.26322938333334
03/02/2019_18:48:58,2.3,42.9949383,-81.26326691666667
03/02/2019_18:49:00,1.8,42.994941266666665,-81.26327258333333
03/02/2019_18:49:02,2.1,42.994930133333334,-81.2633121
03/02/2019_18:49:04,2.1,42.9949332,-81.2633287
03/02/2019_18:49:06,1.3,42.99497306666667,-81.26331363333334
03/02/2019_18:49:08,1.1,42.99497085,-81.2633004
03/02/2019_18:49:10,0.0,42.99498655,-81.2632871
03/02/2019_18:49:12,0.8,42.99498581666667,-81.26328838333333
03/02/2019_18:49:14,0.1,42.99498473333333,-81.26329126666667
03/02/2019_18:49:16,2.1,42.99498145,-81.26329615
03/02/2019_18:49:18,0.1,42.99496166666667,-81.26329503333334
03/02/2019_18:49:20,0.1,42.99493985,-81.26329511666667
03/02/2019_18:49:22,0.1,42.99493808333333,-81.26329525
03/02/2019_18:49:24,1.0,42.99493701666667,-81.26329551666667
03/02/2019_18:49:26,0.5,42.99492838333333,-81.26329491666667
03/02/2019_18:49:28,0.4,42.994918766666665,-81.2632977
03/02/2019_18:49:30,0.3,42.99491628333333,-81.26329318333333
03/02/2019_18:49:32,0.0,42.99490845,-81.26328748333333
03/02/2019_18:49:34,0.0,42.99490781666667,-81.2632864
03/02/2019_18:49:36,0.0,42.994907616666666,-81.263286
03/02/2019_18:49:38,0.4,42.99490281666667,-81.26327451666667
03/02/2019_18:49:40,0.6,42.99490196666667,-81.26325675
03/02/2019_18:49:42,0.5,42.994902683333336,-81.26324448333334
03/02/2019_18:49:44,0.1,42.99490455,-81.26322835
03/02/2019_18:49:46,0.4,42.99490358333333,-81.26322848333334
03/02/2019_18:49:48,1.0,42.99490376666667,-81.2632267
03/02/2019_18:49:50,1.4,42.99490911666667,-81.26323331666667
03/02/2019_18:49:52,0.9,42.994917783333335,-81.26323371666666
03/02/2019_18:49:54,0.8,42.99492333333333,-81.26323403333333
03/02/2019_18:49:56,0.8,42.994928816666665,-81.26323281666667
03/02/2019_18:49:58,0.1,42.99493041666667,-81.263223
03/02/2019_18:50:00,0.2,42.994939,-81.26323135
03/02/2019_18:50:02,0.2,42.994941616666665,-81.26322926666667
03/02/2019_18:50:04,0.1,42.99494298333333,-81.26322975
03/02/2019_18:50:06,0.0,42.99494266666667,-81.2632301
03/02/2019_18:50:08,0.8,42.99493925,-81.2632238
03/02/2019_18:50:10,0.2,42.99494176666666,-81.26321818333334
03/02/2019_18:50:12,0.2,42.99494283333333,-81.26321866666666
03/02/2019_18:50:14,0.0,42.994942783333336,-81.26321815
03/02/2019_18:50:16,0.0,42.9949436,-81.26321813333334
03/02/2019_18:50:18,0.0,42.994943983333336,-81.26321773333333
03/02/2019_18:50:20,0.0,42.9949444,-81.26321696666666
03/02/2019_18:50:22,0.1,42.99494438333333,-81.2632164
03/02/2019_18:50:24,0.1,42.994944733333334,-81.26321521666667
03/02/2019_18:50:26,0.1,42.99494516666667,-81.26321426666667
03/02/2019_18:50:28,0.0,42.99494551666667,-81.26321303333333
03/02/2019_18:50:30,0.1,42.99494536666667,-81.26321203333333
03/02/2019_18:50:32,0.2,42.99494583333333,-81.26321108333333
03/02/2019_18:50:34,0.1,42.994946133333336,-81.26321045
03/02/2019_18:50:36,0.5,42.99494625,-81.26321043333333
03/02/2019_18:50:38,0.0,42.9949409,-81.26320838333334
03/02/2019_18:50:40,0.1,42.99493901666666,-81.26321401666667
03/02/2019_18:50:42,0.5,42.9949415,-81.26321401666667
03/02/2019_18:50:44,0.6,42.99494216666667,-81.26321601666666
03/02/2019_18:50:46,1.1,42.994938133333335,-81.26322603333334
03/02/2019_18:50:48,0.0,42.99493463333334,-81.26323468333334
03/02/2019_18:50:50,0.1,42.994934816666664,-81.26323445
03/02/2019_18:50:52,0.0,42.99493465,-81.26323435
03/02/2019_18:50:54,0.3,42.99493261666667,-81.26323971666666
03/02/2019_18:50:56,0.2,42.99493321666667,-81.26323961666667
03/02/2019_18:50:58,1.3,42.99493291666667,-81.26323956666667
03/02/2019_18:51:00,1.8,42.99494263333333,-81.26324585
03/02/2019_18:51:02,2.1,42.99494871666667,-81.26324633333333
03/02/2019_18:51:04,1.3,42.99495641666667,-81.26325125
03/02/2019_18:51:06,0.2,42.99496631666667,-81.26324463333333
03/02/2019_18:51:08,2.2,42.99497676666667,-81.26324065
03/02/2019_18:51:10,1.8,42.994981333333335,-81.26324386666667
03/02/2019_18:51:12,1.4,42.99498741666667,-81.26326358333333
03/02/2019_18:51:14,1.4,42.9949852,-81.2632715
03/02/2019_18:51:16,2.4,42.994984366666664,-81.26328193333333
03/02/2019_18:51:18,3.2,42.9949901,-81.2632941
03/02/2019_18:51:20,1.9,42.99500211666667,-81.26331371666667
03/02/2019_18:51:22,0.8,42.9950078,-81.263324
03/02/2019_18:51:24,0.1,42.99501266666667,-81.2633383
03/02/2019_18:51:26,0.7,42.9950108,-81.2633486
03/02/2019_18:51:28,2.3,42.99500496666667,-81.2633749
03/02/2019_18:51:30,1.8,42.99500175,-81.26338576666667
03/02/2019_18:51:32,1.2,42.99499983333333,-81.26339623333334
03/02/2019_18:51:34,1.2,42.99499695,-81.26340203333334
03/02/2019_18:51:36,0.2,42.994995583333335,-81.263393
03/02/2019_18:51:38,1.0,42.994999283333335,-81.2633867
03/02/2019_18:51:40,0.8,42.99500075,-81.26338916666667
03/02/2019_18:51:42,0.1,42.99501005,-81.26338106666667
03/02/2019_18:51:44,0.2,42.99500991666667,-81.26337915
03/02/2019_18:51:46,0.1,42.99500858333333,-81.26337846666667
03/02/2019_18:51:48,0.2,42.995008066666664,-81.26337771666667
03/02/2019_18:51:50,0.8,42.99500785,-81.2633805
03/02/2019_18:51:52,1.2,42.99500508333333,-81.26337083333334
03/02/2019_18:51:54,0.1,42.99499225,-81.26337168333333
03/02/2019_18:51:56,0.5,42.99498875,-81.26337676666667
03/02/2019_18:51:58,0.7,42.994989333333336,-81.26336576666667
03/02/2019_18:52:00,1.0,42.99499041666667,-81.26337275
03/02/2019_18:52:02,1.4,42.99498921666667,-81.26338231666666
03/02/2019_18:52:04,0.2,42.99498385,-81.26339021666666
03/02/2019_18:52:06,0.2,42.9949821,-81.26339703333333
03/02/2019_18:52:08,0.8,42.994984216666666,-81.26338918333333
